Country,Region,Gender,Ageyears,Handed,Height,Foot_Length,Arm_Span,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_enery,Importance_owning_computer,Importance_Internet_access,
"OZ","Western OZ","F","14","R","169","23","172","1","Car","8","0.4","47","Netball","1000","746","1000","1000","1000","1000",
"USA","HI","F","14","R","155","22","151","1","Car","45","0.583","75","Football/Soccer","0","50","20","","1000","1000",
"USA","OH","M","17","R","188","25","188","3","Car","20","0.38","41","Martial Arts","374","257","545","529","294","401",
"OZ","New South Wales","M","11","R","145","23","145","1","Car","2","0.45","65","Football/Soccer","1000","1000","1000","1000","533","367",
"USA","HI","M","14","R","154","24","152","1","Car","40","0.143","42","Baseball/Softball","700","600","200","","300","300",
"USA","CA","F","16","R","166","23","145","2","Bus","30","0.832","55","Dancing","1000","1000","1000","1000","200","400",
"OZ","Western OZ","F","16","B","175","25","171","1","Walk","8","0.29","26","Rowing","1000","1000","1000","1000","586","616",
"USA","AZ","F","17","R","163","25","160","1","Car","12","0.365","40","Running/Jogging","500","450","545","","820","960",
"CA","Alberta","M","9","L","132","21","135","1","Car","7","0.587","208","Cycling","1000","561","1000","925","578","631",
"USA","UT","F","17","R","161","23","161","1","Bus","8","0.419","35","Walking/Hiking","1000","600","600","700","700","950",
"OZ","Queensland","F","11","R","160","22","145","2","Walk","35","0.5","28","Netball","1000","1000","1000","1000","172","527",
"CA","Alberta","M","9","R","129","17","126","1","Walk","10","0.337","76","Football/Soccer","925","797","1000","759","1000","1000",
"USA","NE","F","16","R","163","24","152","1","Car","25","0.312","42","Athletics","500","500","500","500","200","300",
"CA","Alberta","F","10","R","140","21","136","5","Car","7","0.496","72","Swimming","722","963","888","925","422","524",
"CA","Quebec","F","18","R","163","28","164","3","Bus","30","0.437","52","Basketball","620","626","652","722","963","1000",
"OZ","New South Wales","M","15","R","174","28","177","2","Walk","5","0.34","29","Cricket","551","551","592","533","752","639",
"CA","Ontario","M","14","R","173","26","180","3","Walk","2","0.321","42","Football/Soccer","1000","1000","818","1000","1000","1000",
"UK","spain","F","11","L","149","20","152","3","Bus","30","0.43","45","Netball","846","849","852","867","564","561",
"OZ","Victoria","F","12","R","158","22","154","1","Car","15","0.36","36","Netball","799","634","1000","462","823","1000",
"OZ","Tasmania","M","13","R","160","25","170","1","Bus","15","0.37","54","Football/Soccer","113","131","161","362","373","249",
"NZ","Canterbury","F","13","R","172","26","157","2","Cycle","15","0.5","0","None","1000","","500","","","",
"USA","AR","F","17","R","182","20","187","1","Car","10","0.494","57","None","1000","1000","1000","1000","0","0",
"USA","PA","F","17","R","172","24","173","1","Bus","10","0.391","40","Other","500","3","3","","999","999",
"NZ","Canterbury","M","14","L","163","24","178","2","Car","15","0","0","Golf","1000","","1000","","","",
"CA","Ontario","M","10","R","144","23","144","1","Bus","23","0.461","42","Golf","807","802","818","845","16","305",
"OZ","Victoria","F","10","R","157","21","155","1","Walk","1","0.39","35","Other activities/sports","1000","1000","1000","746","716","704",
"OZ","South OZ","F","14","R","165","23","158","1","Walk","25","0.6","40","Netball","657","604","834","728","687","693",
"UK","North West","F","13","R","166","18","168","3","Bus","25","0","42","Netball","1000","0","258","500","1000","387",
"USA","HI","M","14","R","179","29","96","2","Car","45","0.36","50","Football (American)","90","90","90","","90","95",
"OZ","New South Wales","M","14","B","167","30","167","2","Car","45","0.4","66","Golf","764","734","675","734","1000","1000",
"OZ","South OZ","F","13","R","174","25","175","1","Walk","15","0.36","28","Basketball","982","1000","1000","1000","817","805",
"CA","Quebec","M","15","R","190","29","190","4","Rail","45","0.392","87","Hockey (Ice)","417","155","460","342","1000","1000",
"CA","Ontario","M","12","L","144","23","140","3","Bus","40","0.406","60","Baseball/Softball","1000","1000","1000","1000","529","529",
"OZ","New South Wales","M","10","R","137","28","126","1","Walk","5","0.43","38","Cricket","1000","1000","1000","1000","161","172",
"USA","CA","F","17","R","160","25","160","1","Car","15","0.292","0","Dancing","700","700","700","700","800","800",
"OZ","New South Wales","F","11","R","152","23","150","1","Bus","50","0.5","55","Dancing","1000","1000","990","1000","204","228",
"OZ","New South Wales","M","20","R","148","19","129","1","Walk","1","0.46","0","Cycling","947","1000","1000","1000","1","",
"USA","CA","F","11","R","151","22","141","2","Cycle","8","0.325","31","Other","1000","500","600","300","50","800",
"USA","MO","M","17","R","186","30","195","1","Car","7","0.455","44","Walking/Hiking","500","550","500","560","990","980",
"USA","ID","F","17","R","142","21","141","1","Car","15","0.39","38","Dancing","1000","1000","1000","","500","500",
"OZ","New South Wales","M","14","R","178","26","181","1","Car","8","0.37","36","Rugby League","498","498","515","509","586","699",
"OZ","New South Wales","M","11","R","150","26","132","2","Car","8","0.31","39","Other activities/sports","1000","858","1000","1000","155","208",
"USA","CA","F","15","R","161","22","161","2","Car","35","0.39","33","Dancing","818","775","904","545","166","775",
"UK","East Midlands","F","15","L","171","22","167","2","Walk","15","0.37","36","Dancing","706","310","301","303","823","835",
"OZ","Queensland","M","13","R","140","20","140","1","Bus","5","0.42","60","Cricket","433","379","403","409","","",
"CA","Ontario","M","18","R","180","30","180","2","Car","11","0.62","36","Golf","444","508","567","572","636","588",
"CA","Ontario","M","14","B","157","27","157","2","Walk","10","0.3","45","Hockey (Ice)","86","86","91","11","1000","1000",
"OZ","New South Wales","F","11","R","146","22","145","2","Car","4","0.37","48","Netball","746","758","752","758","1","",
"USA","FL","M","17","B","173","24","168","1","Car","40","0.395","51","Football/Soccer","1000","500","1000","1000","5","5",
"UK","Home Counties","F","14","R","168","23","173","2","Car","5","0.48","41","Dancing","635","801","555","609","998","1000",
"CA","Ontario","M","17","R","186","27","198","1","Car","30","0.344","48","Basketball","273","433","27","230","722","813",
"OZ","Tasmania","M","15","R","180","28","180","1","Bus","35","0.45","74","Other activities/sports","249","817","598","415","444","433",
"UK","South","F","12","R","155","22","143","2","Car","4","0.4","224","Dancing","922","626","747","767","671","801",
